id,description
JMSHw1n4,Minecraft plugin that sends server chat history to players on join.
JhY1U5k2,Server and client commands with LuckPerms integration
LkU2NW0T,to obtain the best virtual and sound experience
Lvef0riU,Removes the XP cost penalty that accumulates when you repair/enchant an item with an anvil multiple times.
M0223QYQ,Voxel Trains IR is a resource pack that adds tons of mostly modern European trains in a voxel style to Immersive Railroading.
M2gyhpyj,Makes creepers sneeze instead of blowing up
NaEtLTCq,Modern minecaft but but it's 2012.
NumNTF5v,Bring back prerelease version of totem in new texture style
SAqTREFl,Mod allowing hoppers to be sticky!
SlpQpVNY,"This mod adds a new villager, a structure and some new weapons"
SFNEuOxG,Boats are now... barrels?
SqExliwc,Safely retrieve items lost on death.
TNHbXmYn,"modpack for people who enjoys building,
it includes plenty of usefull building blocks for you to build your dream build."
TSUS6vFU,The boats fly
W4Zt0F4F,Small lite modpack
WQl01jlD,Bare Bones Inmis Addon Textures
bEDEfDCX,"Adds back the first person view sway from beta 1.8 and every version after to Better than Adventure, a mod for beta 1.7.3.

Current BTA version: 7.1-pre2a"
bKgA6SHv,Simple sleep vote mod
bTJKynmC,Modpack aimed for great optimization and a lot of client-side QoL features
buRCy5Db,This Mod Updates FroyoCS'S Mod From 1.18.1 To 1.20 While Still Being Completely Server-Side.
c3OLWnep,Simply adds a lore to the pet items if they do/don't have permission for the pet
dtz6lesr,"AppleSkin L&T Compat is a small, unofficial subpack that replaces AppleSkin's hunger bar UI, and Eating Animation's animations to make them compatible with the Love & Tolerance Resource Pack."
eTEswx57,Bare Bones addon for Nether Dungeons mod.
fIWxg70A,"When killing a player under an invisibility potion, unknown is written in the chat instead of the killer's name"
gV3mYVkB,Small modpack made by Mr Small
gsqUoMFl,Add a Cyberpunk shovel to Minecraft!
h3dHO3Sr,A very simple plugin to format your chat!
jpEPJtsm,Make blocks slippery!
oeSsB2sS,"The resource pack changes the Minecraft lantern model, making it suitable for Halloween

Note:
Since version 1.1, the ability to randomly rotate 90, 180 and 270 degrees was added to the lanterns(their rotation does not depend on which direction the player)"
ogPQXaF3,A modpack that my Friends & I play in our spare time.
p7CONpnK,Adds a command to summon multiple mobs at once
pcPiNpnP,A backport of modern Minecraft's spawn eggs for Better Than Adventure (A heavily modified version of beta 1.7.3)
qqvriycV,This modpack is the one used by RoyalTarzan used in his create mod series.
rviptq4E,"Skin pack for UNU and DKZ this skin pack add camo colours to different items like the
UNU Contractor Pickup
Camo DKZ M-130 MotoStrut
UNU Camper
And there are some more skins,
In the future, there are going to be more camo vehicles added and some more"
1n8sq5td,Custom resource pack with 3D models
4W8XMZpC,A fabric mod that adds a full set of new tools and mobs including a boss that is all plasma themed.
4riVEGwt,SteelCakeMC is a Modpack centered around the Create Mod and Computercraft.
5EOXyGfV,A Minecraft mod about unusual viruses and bacteria
62wNL7dA,Disable playing music in the menu.
6A5F7ic1,"A mod which adds new drinks, some good for you some not..."
6ZZDDavw,Its all in the title.
8lZ7Q3wr,IMPROVE FPS! Get Smoother minecraft Gameplay with Essential mods. Now compatible with Version 1.20.4!
99pgNcm5,"This modpack is a mix of lifesteal and origins. Kill people and take their hearts and become different beings along the way. Choose an origin to get strengths and weaknesses, but be careful as some origins can be more powerful in comparison to another!"
9RlVP610,Some utility recipes to make crafting just that little bit easier.
ASjP6iLD,Adds Formula 1 Drivers as mini-bosses in Minecraft!
ApziUMQW,"Ever Wanted To Become Unbeatable In Your Hardcore World Or SMP???, If Yes, Then This Mod Is Definitely For You "
DVbnMLwi,Reworks the creation of iron to make it more realistic
FgNNi62k,A simple mod which adds some useful things.
FsmfOpRA,"Track down the Dragon Egg, then defend it from other players!"
GPH44NFt,This is a community modpack for the Alinea Server with every essential and the nice to have mods.
J3N8NfU0,A Minecraft horror modpack I made for a video that was never released.
JEfQGvM6,A Couple of Canines is a datapack that adds a few new wolf variants to the game!
K3NApEAi,A way to consistently load the same world every time.
KDznkJfi,"Helps to easily identify artifact fragments, pottery sherds and junk items"
L5Oc20Vg,"Quality of life mods, resource pack mods, optimization mods, and good resource packs and shaders in one modpack!"
LbOtuJ0S,Hypixel Skyblock Mod for Minecraft 1.20+
Mpju2UqG,"This vanilla friendly datapack adds the Block Breaker, a new redstone block!"
Pb5zcmJX,Teleport to spawn or lobby fixed location by using a simple command
Q9MTpqQ6,"A ModPack that aims to Customize, Optimize & help with Content Creation adding small but helpful and customizable features."
SbqNFedu,An optifine or combatable CIT pack that gives you playing cards!
UziaVeHx,"Adds Roblox's Safechat from 2007-2014, in Minecraft's chat menu!"
Xpjmc9tq,Drop all of your experience on death: not just 7 levels.
XtrlE2YL,Protects you from accidentally breaking certain blocks (e.g. Budding Amethyst)
YeFMVog0,"Create focused without all the interruptions.

The go-to easy solutions aren't an option. How will you build your factory logistics, power, and storage lines?"
Zxce2VFq,A Regions Unexplored Addon for Xali's Bushy Leaves
cZM0AdlU,"When you spawn, you get a stack of netherite blocks and level 30 enchanted netherite armor."
eT7sT4Kc,A Bukkit plugin to throw your XP at yourself (e.g. to repair your mending tools).
h6GUKu05,"A mod that is constantly expanding, adding new features and content aimed to bring The World Beyond The Ice Wall to Minecraft, along with some custom content!"
hh7t4dU1,A redesign of all the chiseled blocks
i10oXTfl,With this datapack you can sit at home and if you are far from your base you can teleport back.
mwELxBE4,Add Dash (or Roll) mechanic to minecraft
p1Djrs5y,Withdraw various currencies into physical items!
qAU9tjmP,Boost your machines with Forge Energy
rGj3lKPK,"This texture pack updates books. Now all books have their own texture,and upgrades armor and all sorts of tools."
t5QXycIs,Adds an enchantment which increases the Bundle's maximum capacity.
ti3tgKQn,"This library simplifies model import, generates item models & textures, and leverages polymer for resource pack creation. Supports animations, Molang expressions, and various Blockbench features."
uy45EoYN,Fish sizes and food tweaks. Special thanks to the BTA community for the suggestions!
vQ4boo0l,Fixes a Minecraft Bug that prevents closing the inventory when bound to a mouse button
vsxVlREP,A basic lightweight scoreboard plugin!
yninqUOT,A big Client-side modpack with many convenient QoL mods.
zNJQNyXa,A little mod to help locate x/z coordinates by 2 lines
1M02NbZr,Added three books for storing experience.
1idgZN2z,"Supports all vanilla paintings, as long as they save painting NBT. Does not work in survival, intended for the creative inventory. 🖼️ Client mods required. 🖌️"
2HBtUguO,end mod that adds (mostly) entites and a frame recipe and some blocks
5xWfAPG9,This mod add many things made of leaves and other plants.
79Tvs6p9,A very WIP mod to improve the experience of finding and using netherite.
7MFXgvEg,Replaces XP with Coins
7RuviENd,Gives Bees a bit of Halloween Flair!
7uTcRZUx,A Create modpack to compliment the mod.
AYyxFbVP,This mod adds 42 new doors and 22 trapdoors from different blocks! It can be useful for decorating your buildings.
BMv8OcwV,"Modpack for the IUT Vannes Minecraft Server.
Client-side only, it will enhance your experience while staying vanilla and boost your game to oblivion"
CeqW3bwo,Bukkit plugin that randomly adds extra ores to a Minecraft server world as new chunks are generated.
DkVBtrLX,Pets have actual weight and slow the player down when they are on top of the players head (The weight stacks with more pets)
G3oSyy0W,Yet Another Quality Of Life Mod
GaveqNC8,turns the music discs into little CDs
GP43m66f,Makes detection of vanilla achievements more robust.
GpSBbIyg,Share your location in chat. Perfect for survival servers!
Gzbumnkx,"Adds soap, bottled fat, lye, ash, and various other soap-related materials!"
INSC8XOA,Fixes gameplay bugs and adds some gameplay features. Special thanks to Dany for helping with many of the changes and fixes!
J6lkouKD,A modpack that preserves the minecraft style! | 1.20.1
JQKAIyi1,Stress-free server utilities - Essence is a lightweight and customisable Essentials alternative with Folia support.
JS32cdWs,A very nice addition to make the gameplay more interesting by completing quests and earning rewards.
JbpLMhle,Changes I would make to Minecraft
KhHXJ4Xo,"Different Wood Tools is a mod, adding a wooden tools with different wood types. Just use different type of planks, and standart vanilla craft"
OcO4rWRt,A server-side mod offering a simple way to give and receive items between players : by right clicking on them!
PkHC8bSc,Rehydrates the plains biome by making it use the same foliage colors as the forest biome.
QWuAZhjV,the strider is now a boat... an obsidian boat
R6O8QiP4,Allows the logging of players locations
Se34zWvM,Mod providing money items (which can be deposited/withdrawn) and an Account/Bank system. You can define any item as money in config!
SgoSalwo,Provide Scala standard libraries & runtime for Scala-based Rift mod
UZD6Ttu3,"Make mobs always drop exp and loot, regardless of cause of death."
WObJ3bje,A Fabric mod that will add planets in the form of unique dimensions
Xu3XoeaJ,A mod which marks lava source blocks that are still and what direction lava is flowing in.
ZXk9cFX1,"A tiny economy system for your minecraft server (earn, buy and sell)"
a8f9c4zf,Adds intermediate chests that cannot hold as much as a normal chests
bpOB60Kn,Hooks into Residence so that you can stop specific pet events in selected areas
d3tJYBXt,"""Little somthin I cooked up""
Dungeon crawling, horror, & plenty vanilla plus."
dInh3fjk,"This is my first plugin, Basically you can set specific items and how much damage they will do to players in PVP."
dr6WkwxX,Library for interacting with items inside custom and vanilla containers and between datapacks.
dvjhO4Gh,Makes berries not place when you right click without full hunger. Includes an override keybinding to disable the behavior if undesired
eEsHRklZ,For When Vanilla Wood Gets Too Boring
fHGAotop,Adds bungers to minecraft!
ju3lESG8,adventure time swords to minecraft
lFfZqqTp,Detect the client with which a player has connected to your server.
mhsehsYr,Lightweight plugin to have double shulker shells
oG1b6Q1H,A Mod for Better Than Adventure that allows for even more customization with Texture Packs
oia9bay2,RHtech is a technical Minecraft modpack with a magical touch.
p6qtbq7q,TrainCarts-Addon for cross-server teleporting of trains (BungeeCord)
qFUgTUoW,A vanilla+ mod adding new utilities for signs
uHc7x8Pi,alexa play metal_metal_pipe_falling.mp3
uXQF2DEn,"A very simple mod to let you use F3+? keybinds anywhere, including in menus."
ww2DlgjC,"A super high performance modpack that delivers ridiculously high frames per second. Nearly 4 times faster than vanilla. 30% more fps than popular performance modpacks, including Fabulously Optimized, Simply Optimized, and Adrenaline."
x8QOtTG7,The pack reduces the particle density of Physics Mod's rain and snow. It also retextures them lightly and reduces splash particles.
yviVp5Pw,A mod adding stuff that's hopefully nice to have.
9Rmpegbz,Adds a boiled egg for all your protein needs
9xWq92kz,Allows the player to put enchanted books on lecterns
BIQgpU0F,Simply /craft. With permissions.
DfbZLvZG,This mod/datapack enhances vanilla crafting by making them a lot faster.
EwFcyDxg,"Semi-public kitchen sink pack mostly meant for my friends. Download if you want but do not expect a polished experience. I plan to improve it over time though.

Disclaimer: I do not own any mods in this pack. All rights to respective owners."
GbTwnB48,A Minecraft mod which greatly improves how you deal with dark lighting.
GbuMnpSY,Makes copper less boring and more wanted by adding some new uses.
IJ9XG0l7,"changes Minecraft Logo to older
Java Only!!!"
IvLRsqSi,This mod adds many useful crafting recipes
KYQCjMxp,This pack gives every potion effect a custom appearance.
KqNz814b,Ocular - Enhanced Game Optimization Modpack for Fabric
LrFKcwb5,A simple mod (void miner like) for Forge in version 1.20.1 that adds 4 new blocks to randomly generate ores with a lot of Forge Energy (FE).
M12OfAMW,Data pack that makes the overworld a flat checkerboard
MQ3yfzfz,Backports wolf variants from 1.20.5
MTiNlPZG,[ALPHA] Adds support for Farmer's Delight x Bare Bones
Mbv7I7e8,A small mod that lets you adjust the time between songs being played ingame.
NiaSKgRm,Adds new recipes and items using the Create manifacturing processes to improve and streamline gameplay.
R4oKZJ5d,This block uses core shaders to change the colour of the Block Selection Outline to Red.
SC6MXQqy,"※The SUS resource pack is a meme resource pack that replaces all of the textures and sounds in Minecraft with things that are related to the word ""SUS"". This includes the blocks, items, mobs, and even the music."
SUYt0DJn,Scientists found a way to create Ancient items we mean uncraftable items
SV4QArum,"The deluxe version of the Bunnycraft modpack with more ""pretty"" options :)"
SwXVjHAC,Retextured planks and wood double slabs as paneling for wall trim.
VTFaPi0d,Template for creating assemblies focused on the local HighSchool server
XBuoiTyv,"PushkMC is an tech-adventure type modpack geared towards multiplayer experience, with built-in voice chat, plot claims, easy trading and much more!"
cDnaYAdc,velocity plugin that allows you to remember the server where you left with support for servers groups
cFtWtIBh,Add a healthy amount of grit to your daily dose of concrete!
eOvAwCfm,A Modpack with some random Mods.
gJUTDRJj,A mod that updates packwiz modpacks serverside from in-game commands
inwj3j7G,"Contains a select number of optimization mods, Complementary Reimagined Shaders, and Fresh Animations Resource Pack. Everything can be configured In-Game."
lAQMgIN6,This modpack adds many biomes with a lot of new structures.If you want an excellent minecraft experiences with new game contents. Download now
iLZabwvA,"TSA: Stone! adds a small collection of new stone blocks like Granite Bricks, Diorite Bricks, Polished Dripstone and more!"
lFeA3IUu,Just a small crossbow :3
oJxfptGo,Per user IP address based authorization.
pTE78v48,A Minecraft mod that replace tools as they break.
pUPj51ZX,"A simple rpg style leveling system and stats mod for minecraft

Still in its early days
sorry for the bad explanation"
uaevhiBw,This mod adds the alien guns from High On Life into minecraft.
ub8B8TcT,Gives your Minecraft client the power to send VMC protocol data for vtuber models.
vIRlmo2S,"Prim is a modpack for people who hate playing modpacks. Carefully curated to be as close as possible to the vanilla experience, expanding existing systems and following Mojang's design principles as much as possible."
xSvXH4Yb,Custom Railgun textures for the Hypixel game Quakecraft.
zn1h6RSI,A datapack implimenting various compats with Lio's Overhauled Villages and other mods!
39RwM62Y,Control dimension access using inventory items
42acC3Gr,"This mod adds wisteria vines in the style of cave vines! (Fabric, 1.18.2)"
4BmqTQs8,Add the legendary cyberpunk pistol to Minecraft
4XlP4fL2,The Official Modpack for the Zuza Community Server
8boI86pE,"""Sounds of the Apocalypse"" is a Minecraft mod that adds a variety of old apocalyptic music tracks to the game."
9y5H3afk,Customize and animate player model with Blockbench
BQJFN7P4,Makes illagers look more like villagers!
BQVEl4is,"Energy tools, somewhat usefull."
IWl6SPCs,Adds the ability to remove a banner from a shield in a cauldron.
PPVHjRbY,A nostalgic modpack using a mix of beta versions.
PykLq4Wv,"Best performance  modpack for 1.20.2!
Prove me wrong."
Q3gonDND,"Nerf Cacti by having them 
now also require the blocks N;E;S;W of the block above to be air too."
QOOhHlWZ,Craft gilded blackstone.
SkWF8Fjp,adds an new structure thats more common then the dungeon
TBB0auwY,"Adds variations on vanilla blocks, mostly quartz and sandstone."
VKCIA9Gn,"A minecraft mod that adds new armors, tools, weapons, blocks, ores, mobs and bosses."
XJiOsQdY,Best Modpack for Building in Creative Mode
XfxtT7UF,Yet Another Modpack (Quilt 1.18.2 kitchen sink)
Yb6d0lYu,A Mod to prevent zombie sieges from happening in your minecraft world.
cmSzGKGD,A fun little mod that adds the Sudo command from Linux to Minecraft.
dsLrQTUZ,"Adds Big Blocks from Camman18's video ""Minecraft but blocks are bigger"""
e4S2qbHf,"The modpack for the Fluff² smp

Adds: Space, weapons, bosses, amour, building stuff, tech and skills"
eGMrSUkB,"Resourcepack replacing totem particles with ""Ez"""
f1EKHfOL,Adds emoji blocks
fQpL0S0w,Toggle progression milestones through gamerules
hTYMU91T,The modpack for the Legends of Eldoria Roleplay server!
hyn6Rt7w,Write custom Forge toml configs with KubeJS
ifLJaXfZ,Library/API for Entity Texture Overrides at runtime
le5L64Gy,"Some small utilities for the ""Circle of Time"" modpack."
onqowmZL,"There's no use hiding, they'll find you anyway. Monsters are now always chasing you!"
tBPpjDW6,"Cursed Gourmet example that allows eating glass, picks, etc."
tQwKFNwA,"A datapack which creates a Skyblock overworld, nether and end dimension, complete with biomes, empty structure bounding boxes and integrated immersive portals compatibility."
u4vsV6ps,Adds the elixir from the Legend of Zelda Breath of the Wild by replacing the potions. 
v28b8qun,The Minecraft MOD for the MirageFairy project in 2024.
vBa3mjrY,A mod that will complicate your game by adding stamina
x1FoMQeW,Providing a new and exciting aspect of PVP to your server via new enchantments and unique combat.
zPvJmJBs,Adds a magical cat cult into the game
zZ6emvRC,Utilities for Minecraft books
27OJ5ccr,Addon for EssentialsX that adds a configurable delay before activating the AFK status.
2Ro4xRXK,A silly mod that adds a few cats as blocks
3MDe7ltc,Dig through different types of soil to find little worms crawling around.
7VmKylan,Mob Gems is all about capturing mobs in diamonds to harness their powers!
8DIkaZOG,my attempt of making minecraft better
AG6Gyvm3,A cosy vanilla+ modpack with useful tweaks 🔧 and aesthetic ✨ improvements.
C7pWNmLQ,Core mod for all Randomly Adding Anything mods
Cr3HYNmw,Adds new dungeons which are based on the dungeons they spawn in.
DsMaVNpv,Minecraft vanilla with mods that enhance its visuals.
FVvMxoQ1,"Adds hats to Minecraft! Obtainable in survival, multiplayer friendly."
H1Tdz9BD,TerraFirmaCraft Drying Racks addon
Ibb6L7Y5,"Hooks into RedProtect Adding a few flags to the plugin
Like: pet-spawning, pet-moving, pet-riding, & pet-mounting"
LccbThj3,"A collection of random stuff, implemented as I see fit."
LjpPdl0X,"A new recipe type that utilizes flames to crafting various items, blocks, entities, etc."
Olh5FxDy,Lib that Register HoverEvent.Action
SxH6QDpK,Twerk for those plants. Twerking encourages faster plant growth
TVNtwJA1,Setups your favorite Keybindings for you :D
Tc32muTr,"Dark themed Resource Pack GUI, Blocks and Items with mods support."
Tnk2WxNW,A simple resource pack that adds the ability to change the appearance of the pickaxe.
U4Ft1PrZ,Required mods for the Vae Cafe server.
VrcI8ZGX,"Every color, from the default to the eleven new shades, has an equal opportunity to be selected, making it simply a matter of chance."
Yk8MAbbL,Enchantments and potencies have roman numerals up to 10. Rookie numbers. Think bigger.
bTp302p4,Turns the vanilla shield into more of a square shape
bXnGIri1,"a small mod that adds several types of weapons, as well as types of armor and ores, the mod is in BETA testing, bugs may occur, the mod for version 1.19.2 (made in MCreator)"
fxwXNw5A,"This is an easier to run alternative for my other Modpack ""Chronicles From Creation"" for those of you who struggle or can't run the original Modpack or have friends you want to play with that have the same issue."
gZBcyJDD,This add-on for Create: New Age will change a few textures that in my opinion didn't fit the style of the mod
i1d34Lx6,Quality of life tweaks to the origins of the base Origin's mod! (Does not fix legitimate bugs with the mod)
khn1wD6i,Trovo integration mod - 7 days to die style!
pSo26HRH,Magick Experience adds origins that players will receive randomly when they first visit the world
pfXeTlVF,A sodium based modpack that optimizes this unoptimized game I guess
pxDnM1HA,An item transmutation mod based on Chinese five elements.
qMuTASL3,Generate worlds made of planetoids!
taX7jBZm,Add a few useful tools to modded minecraft
tmK5xaFv,Changes the durability of any item. Works server-side only but will desync the durability that appears to the player (For sychronized durability install it in the client side too)
tnWUYYq4,A set of easy-to-use command aliases.
ttL64PDS,Enter a forgotten land filled with a whole new world of possibilities
vIWqtF8n,Configurable Discord Rich Presence for Fabric
vLW62j0V,Announce News to players on join
vswTfGuN,From combat to everything!
xBGRIVGD,"This mod adds a new castle in snowy bioms with a new mob, the frozen zombie."
2KTlc7c7,Adds in a mining dimension like (Aroma1997s Dimensional World)
2ZZ4o0q5,"Generate empty mods at runtime, and put randomized messages in the names of them. Why not?"
3u7VOC9v,This pack adds more types of bees to encounter!
5VxT6F2E,client side mods that helps improve your gameplay and add some customization to your gameplay
7RdFar5Z,"Pokemon Cobblemon Pack - QoL and Performance mods! The server included in the pack has Mega Evolution, Paradox and Legendaries Pokemon, Player Gyms, Raids, GTS, Pokemon Fishing and more!"
7utcJn1y,Lago Duria
9Y0L6hf7,this pack makes the villagers have a winning smile. this makes there smile amazing and makes them look so happy!!!!!!
9m921l3n,Changes the Armor Trim item texture to look more like the Netherite Upgrade
CH4R0KNi,"Dive into a unique Minecraft experience with a Star Wars twist! Inspired by ""Star Wars: Visions,"" this custom 3D weapon texture brings Ronin's iconic lightsaber to life, complete with glowing emissive textures! Compatible with Optifine and CIT Resewn."
DZVfIfFS,"The Whale Lucky Block mod can spawn mobs like kraken, squidzilla and even more. Block structures, giant oceans, lava pools, mini bosses and even more!"
Er2bMzL7,TNVBP的輕量化版本丨Lite version of TNVBP
FL0HVM16,A mod that adds a bit of flavor to your crops--literally
FYT3s09x,Unique swords based on natural wielders!
HA3NXP8x,"A fun modpack for streamers, put together for the initial launch of the StreamCraft Server."
IGgluZ8K,"A modpack focussing on the create mod adding quality of life mods, structures, better terrain generation and much more!"
LTuEWFvZ,A silly Vanilla friendly mod pack Portal made for himself and others.
IJ2HzRlh,Changes the default GUI to be purple.
LU2BxkBE,Brushes oxidize and becomes dirtier as the durability decreases!
Mctbkhid,Fork of GeckoLib for use in my mods
O5oD88Er,Wash dyed items in a cauldron to undye them - also modded ones
OC8deuA1,The default Minecraft Hearts are ugly. Lets fix that! Modern Hearts now adds better hearts and also makes wither hearts easier to see. It improves the background to the hearts.
Q0Zf3Fpu,toolkit required by Recurrent Complex
Q4KArChK,"3D-fies stuff, but not too far from Vanilla!"
QLKJs3ED,Blinding Light is a modpack for playing on the ForScore server.
QoUSM3q9,This resource pack fixes the texture of Smooth Stone Slabs.
RrgG49hA,A mod that makes dummy versions of some Minecraft mobs.
SGDavjvK,A Fabric port for the simplify mod
V0g0qeLT,"Fish anywhere, without restrictions. Useful for modded liquids or non-open water."
WRzspEo9,Simple Resource Pack that changes the default crosshair to one inspired by the post style crosshair from a Mosin-Nagant PU Scope - Incompatible with other Packs that change icons.png
Ya6cbu5C,Changing the texture of the sniffer egg to a more beautiful one!
ZE5b2pxl,Fresh Adventures is vanilla+ modpack that has more adventures than any other modpack
a2aAIjwo,Minestruct is a mod that adds variety of new blocks for building!
aCp8g73B,Allows you to launch shell commands in-game (BE CAREFUL WITH THAT).
aX4r8vO3,This Datapack adds 90+ New Mobs to your Minecraft World for a better vanilla experience!
cMtGFQDd,A rocket to rescue you from danger!
ckDcVLRb,Makes cold striders look more lazy and less depressing! No more sickly baby striders riding their parents!
cno14067,"A bunch of mods I like, just because why not"
ePvzoi6l,"A medieval world, with unique and innovative mods awaits you..."
fU9RGv66,Client-side mod that allows the player to toggle custom skins. Developed for FTB Wiki editors to take screenshots without their custom skins.
g2UZ9ABt,This mod adds some new (unbreakable) blocks. You can use this mod to make your house or building (almost) fully theft-free (except for people with chorus fruit)
hskf0xM0,An Airship-Based Modpack with ever-scaling difficulty. Keep Moving or risk becoming overwhelmed.
iRCsHdgb,"This is the official Modpack for the Dyonizel Minecraft server.

It contains all the mods for both clients and servers.

It is based upon the official Cobblemon Modpack (Fabric)."
iZPifkRj,This resource pack upscales the vanilla textures of the game 4X using a model trained for digital art. It will have changes in the future
jaehGZMy,This mod upgraded vanilla biomes and adds new ones for a more interesting journey around the world! Update 1.0.0 - Savanna and Dark Forest
ll7rupv6,Signs powered by a redstone wire will print out the contents of the sign to players nearby.
rQIXsrKy,Venturer enhances the Minecraft world with new vanilla+ content that encourages players to explore
ry1bCMYa,This resource pack makes the place where the player is located in the inventory transparent and it also adds small cracks to the survival inventory
sPIYL4uH,This resource pack enchances the visuals of the Minecraft main menu.
umKyjsqm,some mods to optimize smp scenarios with friends
v6eFaM1v,"The mod pack for the Darkmatter server, designed to keep that pleasant Minecraft feel while adding more exploration and ingenuity to the game.
Reach for the stars or decorate your home planet with all the beauty of creativity, your mind is your limit!"
wIWtkL0s,"Single Player Commands built on Fabric for b1.7.3, but it also works in Multiplayer and has an API."
xwo9EqAv,This mod adds an item that lets the player chose a starting kit. You can also set the starting inventory for the player via json in the configs folder.
yLRDWDD2,Ресурспак добавит ещё больше тотемов в вашу игру (Можно использовать как аддон к Minecraft Totems)
3sDFxF3O,makes all rendered strings and chars lowercase
4H7Uhf19,"A horror modpack with a 1.12.2 feel

All mod credits go to their respective owners."
5RmCIByk,"This Minecraft mod implements deeds and money system that enables players to own property, trade, buy and sell land, start businesses, and accumulate wealth. It's a must-have for Minecraft fans who want to explore the game's economic possibilities"
6k6s1z0k,Adds a Four Leaf Clover that provides the player with the Luck Effect!
9pZqIahn,Utility mod for Bunny Farm which targets to improve user experience in the server.
AOA6FFnK,Adds anomalies to your world
Apdfg9iG,adds the Bifrost from the Marvel Cinematic Universe.
CMNsL2Tr,"This mod adds three types of ingots, all of which can be synthesized using vanilla materials, including tin, bronze, and silver."
DpSKeidC,Allays now come in different colors! Can you get them all?
EUJcxk7W,A mod that add slow mining nodes in your world.
FvQ59rwt,"This mod adds multiple creepy additions to Minecraft including:
The Slint, a horrifying mob that kills on sight,
And a few items that don't do anything yet."
GHXrZF2Y,This is a fun adventuresome modpack centered around a cottagecore decorating theme juxtaposed against Cobblemon gameplay.
GpE0O82n,Allows the player to break campfires and soul campfires without the need for silktouch.
HMMhT0vF,A mod that makes you walk forward
IJoDGm8a,"A plugin that removes completely entities and blocks placed by players after a cernain amount of time, useful for boxpvp, kitpvp"
J3fahFy4,This is a modpack intended for my personal server - Innicia.
K24Gminl,This resource pack retextures the totem to a stickman!
KH1vSEsZ,A slot reservation mod
L8y5M323,"Increase FPS, Improve the Experience, Create your Story, Revamped Combat & Lights."
MBDQlQMq,"Explore and battle in Minecraft with the Create and Cobblemon mods, blending engineering and Pokémon-style adventure!"
MLWIo6bh,A mod that adds more progression into Minecraft to extend a playthrough. In beta for 1.20.1!
MxBGyo5p,An addon for the minecraft origins mod with the theme of a summoner/support class based on wolves.
OOt9IkGN,"A modpack adding features to Minecraft that should already have been added from the beginning without changing from vanilla to all the mods. From boosting FPS to lifetime savers, Enhanced contains everything you need."
OYdPUnf7,A Bukkit plugin which prevents loosing all your XP after death.
OoQc6URx,"This is a mod I made both as a journey through making Minecraft mods (and therefore Java,) and as a fun addition to when I play with my friends."
RnBtaMGW,"The prerequisite Mod for the Celestial series, this Mod adds new attributes and some crafting materials, which have no use on their own."
Rojiy8xL,"Mod which changes how mending enchantment works. To repair an item you need it's standard repair ingredient in your inventory. For each durability point you repair, there is a chance that the repair ingredient is consumed."
SEmcNvNT,A modpack for those on phones or low-end PCs who want to experience Modded Minecraft
UvPWf6lG,Pack made to make Minecraft textures look nicer while still maintaining the vanilla style of the game!
VGFo3zOB,"pvp pack for 1.8 with animated sword, block animation and many more in the future."
VKpu9wGv,"These mods are mods to increase FPS, lower memory usage, fix memory leaks, bug fixes and overall just useful features."
VXMUYS2E,Provide amazing teleporting animation same as the GTA Online game.
YWekFDpo,"A magic and automation based pack. Unleash your inner wizardry with Ars Nouveau, automate with Create, and build custom gear with Tetra!"
Yebl0CwS,"Equip a Diamond Shovel in offhand and gain Water Breathing, Fast Swimming and Night Vision"
ZFOSG86A,Bees in sweaters! 18 various warm and cozy bee textures! (optifine needed!)
Zk4USCcn,"Hello, player! Welcome to Buzzy Teeth, a mod aimed at improving realism in Minecraft by adding consequences for eating golden foods with some possibilities to turn them at your own favor!"
bP8df81m,"The one & only pre-configured, performance boosted, quality of life modpack for the private Hundkeller SMP of 6 Members, now public for all users as a client side modpack made to offer one of the best online experience possible."
cRSI4hQ7,"A simple datapack that adds customisable ""ranks"""
d6UZ6FIJ,minecarts are twice as fast
g9QEgoyb,Adds an aquatic element of realism to Minecraft!
e0pz6RZP,Minecraft Delta (Aka. THE BEST MINECRFAT VERSION (not a typo)) is a modpack aiming to combine best from beta and modern Minecraft
gM9zbQFP,"A pixel font available for Chinese/Japanese, Chill Bitmap Font (寒蝉点阵体). Required Caxton, compatible with shaders."
iy13fOix,Journey to a plethora of new worlds. Encounter a multitude of new enemies and bosses to test your abilities. Become one of the Vampires or one of the Hunters. Embark on an unforgettable Journey Beyond!
jczuskJT,Minecraft mod for MC 1.12 that adds Material system based on Ore Dictionary and its usages
mirQJLi0,Simple coins mod
owmHZ0lO,Don't lose your precious items when you die!
pIwvSn9g,Changes the texture of infested stones and deepslate.
pfwHNjbj,Money mod for servers
sWdaXjZA,This mod allow you to craft many food and armor...
svPcZHGV,"A lot of new blocks to build with, EPIC! :D"
tHmKhHkk,A mod add bigger disk for ae2
tI5GiAMV,Reliable protection will survive any explosion.
wqc7cNyt,Allows any player to kill themselves on servers or single player
xCc7uPer,Save maps to images (client side) - now on Forge
xhKF0xZh,This Plugin allows you to place some Ghost Block (like secretrooms) !
y5MxNA6O,Makes the void feel more detrimental to modded Minecraft!
5OJSoCa9,Easy crafting debag sticks
6MrZcGBo,All of the optimisation mods I found on here + many QOL mods to improve the overall experience
80vlINcP,Replaces the Minecraft loading screen with the Mojank logo from The Fabric Project discord.
